RAB33B,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ALDOC,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ZNF212,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
NUDT1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
RFPL2,1,,0,1,,0,0,1,1,,0,1,0,1,1,0,1,1,0,1
ZNF83,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
IPW,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GDPD5,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PDCD4,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CEP350,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
AK094462,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
CST7,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CIAO1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
SELL,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
LTBP4,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
OR6C1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
SIRT6,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PPIL1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
STK17A,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ABR,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
FOXE1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PCDHA13,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
SIAH3,0,,0,0,,0,0,0,0,,0,1,1,1,1,0,0,0,0,0
GML,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
CNGA3,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
CD38,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ZDHHC6,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
NEFH,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CTDSP2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ZNF257,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CCNY,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
RMND5B,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
AX747408,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
C11orf88,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EXOSC7,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
ROR2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
GYPC,0,,0,0,,0,0,0,0,,0,0,0,0,1,0,0,0,0,0
C7orf33,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
BC080653,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
RNF4,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EMC1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
HDAC7,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PLEKHG4,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
GRB2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
AGPHD1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
DUS3L,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
EIF1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
FPGT,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CHST15,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
RASA4B,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
GPN2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
COQ9,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TRAPPC9,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
GCC2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
RARRES3,0,,1,0,,1,0,0,0,,1,1,0,0,0,1,0,0,0,1
PLXNA1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
KIAA0100,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
PMF1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
FNDC1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
HS2ST1,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CD82,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
C8G,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
CRELD2,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
SPINK14,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
PIRT,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
LIM2,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
MIR193A,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
JA611300,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
MMP16,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
AK131520,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
MIMT1,0,,1,1,,1,1,1,1,,1,0,1,1,1,1,1,1,1,1
DRD3,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
